document,entities,intent
Thank you so much that was all I needed.,[],NONE
I'm looking for a places to go and see during my upcoming trip to Cambridge.,[],find_hotel
I would like to go to the south area please.,[],NONE
"That's a lot of choices, how about nightclubs? Can you get me a couple of phone numbers for good ones? I'm hoping to catch DJ Squalour from Ibiza!",[],NONE
"Yes, I would like an expensive hotel with free parking.","['hotel-parking', 'hotel-pricerange']",find_hotel
Is it four star?,[],find_hotel
Okay well now I need to get a taxi to leave the hotel by 17:45 to the attraction. I will need a contact number and car type.,[],NONE
"I want to confirm that the booked red Lexus is a taxi, as I previously requested?",[],NONE
No that is it. Thank you!,[],NONE
I need a place to stay that has free wifi.,['hotel-internet'],find_hotel
could you provide details for something in the cheap price range?,['hotel-pricerange'],find_hotel
"No, I have no preference. Just pick one. That will be fine.",['hotel-area'],find_hotel
"Perfect. I'll need a room for myself, for five nights on tuesday.","['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
"Nope, that's it. Thanks!",[],NONE
"Actaully i will be on business so not out much but I do need a train, to cambridge leaving after 21:15",[],NONE
"Yes, I need a train going to cambridge leaving after 21:15 on tuesday departing from broxbourne.",[],book_hotel
I need a train after 21:15.,[],NONE
No thank you. I just need the train ID and arrival time for one of them.,[],NONE
"Great, thanks for that information on the train. Can you book for a train leaving after 21:15?",[],NONE
I need tickets for one person.,[],NONE
that is all i needed for today. thanks alot,[],NONE
"Hi, I'm traveling to Cambridge soon and am looking forward to seeing some local tourist attractions.",[],NONE
"Actually, yes. We are traveling into the northern part of town.",[],find_hotel
That sounds nice but I would like to see about a guesthouse with free wifi.,"['hotel-internet', 'hotel-type']",find_hotel
"No, I don't really care about price. Just something in the north that includes wifi.",['hotel-area'],find_hotel
Groovy!! Let get a booking for 2 people and 2 nights starting sunday.,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
"Yes, I am looking to visit the cherry hinton hall and grounds. Can I please have more information on that?",[],NONE
"No, taht will be all. Thanks, goodbye.",[],NONE
Can you help me find an expensive Chinese food restaurant?,[],NONE
I'm interested in restaurants located in the East.,[],find_hotel
"Yeah, could you book it for 8 people on Monday? I think 16:15 is when we want to be seated.",[],NONE
Thanks! I'm also looking for a hotel near that restaurant.,"['hotel-area', 'hotel-type']",find_hotel
If that has free wifi that'll work.,['hotel-internet'],find_hotel
"Could you tell me the price, address and phone number?",[],find_hotel
"No, that's all for me today! Thank you! Bye!",[],NONE
I am planning a vacation and really could use some help finding a good place to stay in town. I've never been to Cambridge before.,[],find_hotel
It doesn't matter. What do you recommend?,['hotel-area'],find_hotel
"Oh, ok. I really don't want to stay at a guesthouse though. Can you recommend a hotel instead?",['hotel-type'],find_hotel
Sounds good. Can you get me a room for 2 for 5 nights starting Sunday?,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
What is the train schedule from birmingham new street like? I need to arrive at 13:45.,[],NONE
I need the travel day to be Sunday. I'll be going to Cambridge and arrive by 13:45. I'll be leaving from Birmingham New street.,[],book_hotel
What is the travel time on that train?,[],NONE
Excellent. Thanks for all the help!,[],NONE
"Yes, thanks very much! Have a great day!",[],NONE
You too! Thanks so much for all the help. Please end the convo and read the directions next time. thanks,[],NONE
I'm planning a trip to Cambridge and I was told the A and B Guest House was a great place to stay. Can you give me information about it?,['hotel-name'],find_hotel
Do you have free parking? I refuse to pay for parking in a hotel that I am staying at. Wouldn't you agree?,['hotel-parking'],find_hotel
"Okay, sounds good. Also I need to get a train from Liverpool street to Cambridge.",[],NONE
"Oh wait, you know what? I forgot to ask about star ratings. What's the star rating on the A and B Guest House, please?",[],find_hotel
The train should leave after 12:45 and should leave on friday. for 2 people please book.,[],NONE
Does that train leave on Friday?,[],NONE
I need two tickets.,[],NONE
"No thanks, that is everything.",[],NONE
I need a train to go from Cambridge to Norwich.,[],NONE
I am traveling on Sunday,[],NONE
I would like to arrive by 13:45.,[],NONE
I would like to book that train for 4 people please.,[],NONE
"yeah, I'm also looking for a place to stay. I don't like hotels, so a guesthouse would be better. Moderate in price.","['hotel-pricerange', 'hotel-type']",find_hotel
"Yes, the hotel should be in the east and doesn't need to have free parking.","['hotel-area', 'hotel-parking']",find_hotel
can I have the star rating and idf they have wi fi ?,[],find_hotel
"OK, that's all I need for now. Thanks.",[],NONE
Thanks you too Goodbye,[],NONE
I am looking for a high priced hotel in the north side of town,"['hotel-area', 'hotel-pricerange']",find_hotel
How about an expensive hotel in the south side of town?,[],find_hotel
Does it offer free wifi?,[],find_hotel
"How about free parking, does it have that as well?",[],find_hotel
book it for 7 people and 3 nights starting from monday.,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
No that is all I need. Thank you for your time.,[],NONE
"I'm looking for a hotel, can you help?",['hotel-type'],find_hotel
It should be in the centre and be on the expensive side.,"['hotel-area', 'hotel-pricerange']",find_hotel
Can you book the one without wifi?,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
Do either of them offer free wifi?,[],book_hotel
"Yes, please book for two nights beginning on Sunday for one person.",[],book_hotel
Thank you. I'm also looking for a museum to go to in the same area.,[],NONE
"Yes, please. Can I get the address and phone number for the one you reccommend?",[],NONE
Do you have there phone number?,[],NONE
"Yes, I also need a taxi going between the two places.",[],NONE
I want to arrive at the Castle Galleries by 11:15.,[],NONE
"Ok, thank you for the help.",[],NONE
Please find me a place to dine that's expensive and in the centre.,[],NONE
I am looking for Thai food.,[],NONE
Ok great. Can you reserve a table there for Thursday for 5 people at 15:00 please?,[],NONE
Thank you for your help.,[],NONE
Yes a hotel please.,['hotel-type'],find_hotel
"You know what? I don't need a hotel after all. I heard something about an attraction called ballare, could you give me some information about it?",[],NONE
That is everything. Thank you so much for your help.,[],NONE
That is all I need.,[],NONE
"Hi, I am traveling to Cambridge and am super excited to see some local tourist attractions. I am looking for some suggestions on places to go in town.",[],NONE
Perhaps I'd like to see a museum. Are there any in the centre?,[],NONE
Does not matter can you just recommend one please.,[],NONE
Excellent. Can I please have they're phone number and address please?,[],NONE
Thank you. I am also needing help booking a guesthouse in the north part of town. Can you assist me with that?,"['hotel-area', 'hotel-type']",find_hotel
4 people for 5 nights starting Sunday and I also need the ref # too please,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
I will be staying in Cambridge. I need a hotel with wifi.,['hotel-internet'],find_hotel
I need something in the centre.,['hotel-area'],find_hotel
The north part of town,[],find_hotel
"Sorry, I've been all over the place. To be clear, I need a hotel with free wifi and parking that is in the centre.","['hotel-parking', 'hotel-type']",find_hotel
"yes please recommend one. the booking is needed for saturday. 3 nights, 6 people","['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
Ok great. Can you book a room for 6 people and 3 nights starting from Saturday.,[],book_hotel
"Great, thank you. I'm also in need of an Indian restaurant in the cheap price range. Can you find me one?",[],NONE
"Any will do, what ever you recommend.",[],NONE
I certainly want to try it then. Please book for 6 people at 11:30 on Saturday.,[],book_hotel
Thank you . I am all set.,[],NONE
Can you assist me in finding me an Expensive Restaurant in Cambridge where I can dine? The restaurant should be serving British foods.,[],find_hotel
I'd like it to be in Centre.,[],find_hotel
Can you make me a reservation for Saturday please for 3 people?,[],NONE
We will be dining at 16:30. Please book a table for 3 on Saturday and provide the reference number. I also need a hotel in the same area.,[],NONE
Something in the same area as the restaurant. It should also be in that same price range.,"['hotel-area', 'hotel-pricerange', 'hotel-type']",find_hotel
"Yes, that should be perfect thank you.",[],find_hotel
"I would like a room for three people, just for Saturday night.",[],NONE
"Can I have the postcode and hotel type, please?",[],find_hotel
I also need a taxi between the hotel and the restaurant.,[],find_hotel
Thank you very much! Can you please make sure that it arrives at the restaurant by the time of my reservation?,[],NONE
Thanks so much!,[],NONE
"No, that will be all. Thank you!",[],NONE
Thanks for all the help.,[],NONE
I am planning a trip in Cambridge.,[],NONE
I'm looking for a train from Cambridge to Leicester on Monday.,[],NONE
I need to leave after 21:45,[],NONE
"Yes, could you book me 2 tickets and get me a reference number?",[],NONE
"Yes, i also need a hotel with free wi-fi. I do not mind if it is expensive.",['hotel-internet'],find_hotel
does it have free parking?,[],find_hotel
"Yes, I need it for Thursday. 2 people 4 nights.","['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
That is all I need.,[],book_hotel
I live in the centre of town and want to see if I can find a reasonable room for my parents to stay while they are visiting.,"['hotel-area', 'hotel-pricerange']",find_hotel
That sounds like it might work. Could you check availability for two people this weekend?,[],find_hotel
I am unsure at this time.,[],find_hotel
Can you tell me what the address is?,[],find_hotel
Does this place include free parking?,[],find_hotel
"You have been very helpful. I have everything I need, thanks. Bye",[],NONE
I am looking for information in Cambridge. I need a place to dine.,[],NONE
Crossover food would be perfect.,[],NONE
Is there a gastropub in Centre?,[],NONE
Let's go with the moderately priced option. Can I please have the phone number?,[],NONE
"Not right now, but I am looking for a place to stay. Are there any 5-star accommodations in Cambridge?",['hotel-stars'],find_hotel
Do you have one with free parking,['hotel-parking'],find_hotel
Is the allenbell a guesthouse?,['hotel-name'],find_hotel
No thank you that will be all,[],NONE
"Yes, I'll need a taxi from the restaurant to the hotel. I want to leave the restaurant by 18:30.",[],NONE
Thank you so much.,[],NONE
No thank you! Thanks for your help! Bye!,[],NONE
I really need to get out of Cambridge! Can you find me a train to Leicester? Sometime after 08:45 because I like to sleep in.,[],NONE
I'll be leaving this place on Saturday.,[],NONE
It does not matter.,[],NONE
No thank you. What's the cost of the ticket?,[],NONE
I also need the travel time and arrival time please.,[],NONE
I'm also looking for a particular hotel. Its name is called cityroomz.,['hotel-name'],find_hotel
I'd like to to book it for 8 people and 4 nights starting from tuesday,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
Not at this time. Thank you.,[],NONE
I would like to find a cheap hotel to stay at where there is free parking. Do you have any suggestions?,"['hotel-parking', 'hotel-pricerange', 'hotel-type']",find_hotel
Do they have free parking? are they rated 3 stars?,['hotel-stars'],find_hotel
Did you have something that fits with 3 stars?,[],find_hotel
What about a 4 star hotel?,[],find_hotel
"Yes,please book for 5 people for 5 nights starting on Thursday.","['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
"I would like to book for Thursday, not Tuesday.",[],book_hotel
Is Monday available?,[],book_hotel
Thanks! Can you also help me find a college to visit in town?,[],NONE
Can you suggest one for me?,[],NONE
What is the entrance fee and postcode there?,[],NONE
Thank you so much. Good bye,[],NONE
I am looking for a 4 star place to stay.,['hotel-stars'],find_hotel
"I'd like it to be in the north, and to be a guesthouse.","['hotel-area', 'hotel-type']",find_hotel
"Yes, please book it for 5 people and 5 nights starting from wednesday.","['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
No that is all. Thanks for your help!,[],NONE
I would like to find out information about a hotel called Warkworth House.,['hotel-name'],find_hotel
Yes please. It'll be for 4 nights.,"['hotel-area', 'hotel-bookstay', 'hotel-internet', 'hotel-parking', 'hotel-pricerange', 'hotel-stars', 'hotel-type']",book_hotel
Thank you. Can I get a reference number for the booking?,[],NONE
I need to book it to 2 people for 4 nights starting from wednesday.,"['hotel-bookday', 'hotel-bookpeople']",book_hotel
I'm also looking for a train. I'll be traveling back to Broxbourne on Friday.,[],NONE
yes i will be leaving from Cambridge.,[],NONE
I would like to leave after 10:30.,[],NONE
Yes that will work. I need to book it for 2 people.,[],NONE
Can you find me a expensive cafe to eat at once i get off the train?,[],NONE
"I actually don't need a place to eat. Thank you, that is all.",[],NONE
That is helpful.Thanks,[],NONE
"No, I'm sorry. That's all for now. Thank you for all your help.",[],NONE
"I need a hotel with free wifi and free parking, thank you","['hotel-internet', 'hotel-parking']",find_hotel
I'm looking for something in the moderate price range actually.,['hotel-pricerange'],find_hotel
Yes please book the Archway House.,['hotel-name'],find_hotel
I will be arriving on tuesday and I need to book the room for four nights for three people.,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
"Yes, I would also l like to find a splendid, moderately-priced place to dine in the centre. That would be just wonderful if you could help me out with that!",[],book_hotel
"I'd like an Italian restaurant, please.",[],NONE
"Yes, just give me the address please.",[],NONE
Yes. I would like to leave the restaurant by 11:15 and I would like to book a taxi to commute between the hotel and the restaurant.,[],NONE
Thank you very much! That's all I need today!,[],NONE
I am planning a trip in Cambridge,[],find_hotel
I'm actually looking to book a specific hotel. It is called the Alpha-Milton Guest House.,['hotel-name'],find_hotel
"I'd like to start my stay on Wednesday, it will be for two nights, and it will be 6 people.","['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
Thanks so much. I also need a train to arrive in Peterborough by 16:45.,[],NONE
"I just want to verify that train leaves from Cambridge correct? If so, can you book it for 6 people and provide the reference number.",[],NONE
No thank you. Goodbye.,[],NONE
"I am traveling to Cambridge and excited about seeing location attractions. Could you help me find a place to go, like a college?",[],NONE
Can you give me the entrance fee for one of the colleges in the centre?,[],find_hotel
I'm also looking for a hotel in the centre. I don't want to stay in a guesthouse. It needs to be a hotel.,"['hotel-area', 'hotel-type']",find_hotel
Yes. That would be great.,[],find_hotel
I want to stay for 5 nights starting on Tuesday.,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
Can you see if they have just 1 night available?,[],book_hotel
I need a taxi please between the 2 places. I want to leave the attraction by 2:30.,[],NONE
"Awesome, thanks! I think that takes care of everything I needed.",[],NONE
I'm looking for a hotel that includes free wifi and free parking.,"['hotel-internet', 'hotel-parking']",find_hotel
I would like a hotel in the centre and it should be in the cheap price range.,"['hotel-area', 'hotel-pricerange']",find_hotel
"Yes, that would be fine. What are the names of the two guesthouses?",[],find_hotel
What star ratings are they?,[],find_hotel
Okay may I please have the phone number for Alexander bed and breakfast?,['hotel-name'],find_hotel
Thank you! I'm also looking for a train for saturday.,[],NONE
"I need to leave Cambridge on Saturday, please.",[],NONE
i am going to ely and it should leave by 18:00,[],NONE
Please pick one that meets my requirements.,[],NONE
"No, Make sure you get travel time, price, and train ID",[],NONE
No thank you.,[],NONE
No thank you that will be all,[],NONE
Can you help me find a place to stay that's four stars and has free wifi?,"['hotel-internet', 'hotel-stars']",find_hotel
That doesn't matter as long as it's cheap.,['hotel-pricerange'],find_hotel
"It doesn't matter. Like I told you, it just needs to be a cheap 4 star place with free wifi.","['hotel-area', 'hotel-parking']",find_hotel
Okay I would like to make a booking for 5 people and 4 nights starting from wednesday.,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
"Yes, of course.",[],book_hotel
"I also need a train on Friday, departing after 9:00.",[],NONE
i am departing from cambridge,[],NONE
"I will be traveling to ely, no need to book, but i need the train number, travel time departure time and arrival time",[],NONE
That is all. Thanks for your time.,[],NONE
I don't know if this is possible but can you please get me some information on the alexander bed and breakfast?,['hotel-name'],find_hotel
"Ah, I just wanted to know it was still open. Could you book me a room?",[],find_hotel
3 nights starting from friday.,[],find_hotel
"No, I would like it for 4 people.","['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
I also need to find an Indian restaurant in the east please.,[],NONE
In the mid-range would be fine.,[],NONE
4 of us Friday at 14:45 I need the reference number too.,[],book_hotel
"Yes, I'd also like to book a taxi. I'd like to arrive at the restaurant by the booked time.",[],NONE
I will be traveling between the hotel and restaurant.,[],NONE
I would like to get to the restaurant by 14:45 please.,[],NONE
"Great, thanks so much, that's all I need! Have a great day!",[],NONE
I need a place to eat that is expensive.,[],find_hotel
"In the centre, please.",[],find_hotel
i want something with malaysian food.,[],NONE
I actually just need an expensive place to dine in the Centre of town.,[],find_hotel
Yes please. Can you book that for 8 people on Saturday at 15:30?,[],NONE
"Okay, thank you.",[],NONE
"If Saturday fails, try Monday and provide the reference number. Also looking for a guesthouse in the same area with internet. Provide starts and address please.",[],find_hotel
Can you book me two taxi cabs that offer groupon discounts to take us to the restaurant?,[],NONE
I'm looking for a place to stay. The hotel should be in the same price range as the restaurant and should be in the type of guesthouse.,"['hotel-area', 'hotel-pricerange', 'hotel-type']",find_hotel
A hotel would be fine.,[],find_hotel
What expensive hotel do you recommend?,[],find_hotel
"I just need their address, star level and whether they have internet please.",[],find_hotel
"Not yet, that's all for now. Thank you for all your help.",[],NONE
"Hello, I'm looking for a place to stay in town. I'd like a place with free parking and a 2 star rating, please.","['hotel-parking', 'hotel-stars']",find_hotel
Is it a hotel or guesthouse?,[],find_hotel
"That's fine. Can you book it for 2 people for 2 nights, starting from Thursday?","['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
No thank you. I appreciate all your help.,[],NONE
I need a train on Tuesday that arrives by 16:45.,[],NONE
I want to depart from London and arrive in Cambridge.,[],NONE
london liverpool street.,[],NONE
For two people please. I will need the reference number. I also want to stay at the Lensfield hotel.,[],find_hotel
do you know the lensfield hotel? I need their phone # and how many stars do they currently have?,['hotel-name'],find_hotel
No thank you. That's all I need for now.,[],NONE
I'm hoping to book a train from bishops stortford to cambridge. Please list all times for that route.,[],NONE
I need to leave Wednesday and arrive after 11:15.,[],NONE
I would like to leave after 11:15.,[],NONE
"no, i want that day and time please",[],NONE
"Well, I need to know the arrival time first.",[],NONE
"Yeah, that works. Can you recommend a 0 star hotel for me?",['hotel-stars'],find_hotel
I'd like it to be in the centre please.,['hotel-area'],find_hotel
"it doesn't really matter. Moderately priced located in the centre. I need phone number, hotel type and if they have free parking or not",[],find_hotel
Does it have free parking?,['hotel-parking'],find_hotel
"Great, thank you. That is all that I need.",[],NONE
Hi! I'm looking for a train to Norwich on Saturday.,[],NONE
From Cambridge and I want to arrive by 20:30.,[],NONE
"Yes please, book it for 7 people.",[],NONE
I am also looking for a place to stay. Can you find a 1 star hotel for me that is a guesthouse?,"['hotel-stars', 'hotel-type']",find_hotel
"If there are no 1 star guesthouses, please find me the cheapest one that includes free wifi.","['hotel-internet', 'hotel-pricerange']",find_hotel
Yes Alexander bed and breakfast that has a star of 4 would be great.,['hotel-name'],find_hotel
There will be 7 people staying for 2 nights beginning on Thursday.,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
Would 1 night work instead? If it does could I get the reference number please?,[],book_hotel
That will be all. Thank you.,[],NONE
Can you help me in finding a suitable guesthouse please?,['hotel-type'],find_hotel
"Yes, I'd like to stay in the centre of town please.",['hotel-area'],find_hotel
I'll take the El Shaddai please.,[],find_hotel
"Yes. I want to book it for 2 nights, 5 people starting on Friday.","['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay', 'hotel-name']",book_hotel
No that's all. Good bye!,[],NONE
Hi! Would you please help me find a hotel to stay at?,['hotel-type'],find_hotel
"It needs to be 2 star, have free parking and free wifi.","['hotel-internet', 'hotel-parking', 'hotel-stars']",find_hotel
I do not have a preference. Please pick one and get me a booking for 8 people for 3 nights staring from Friday.,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay', 'hotel-pricerange']",book_hotel
i also need a train that should leave after 16:45 destination bishops stortford,[],book_hotel
"I need to travel on Monday, departing Cambridge. Does that make a difference?",[],NONE
"Yes, I need 8 tickets. And could you provide the reference number?",[],NONE
"No thanks, that will be everything.",[],NONE
Thank you for your time goodbye!,[],NONE
Could you help me find a 0 star hotel?,"['hotel-stars', 'hotel-type']",find_hotel
Is the cityroomz a guesthouse? That's what I'm looking for.,['hotel-name'],find_hotel
"You know what, the hotel will actually work for me. Can you tell me where Cityroomz is located?",[],find_hotel
"Yes, can you book that for me for 5 people and 4 nights? I need it on Sunday.","['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
How about two night?,[],book_hotel
"Thank you, good bye.",[],NONE
I'm looking for a hotel called Kirkwood House please.,['hotel-name'],find_hotel
May I please have the phone number for the hotel?,[],find_hotel
I'm also looking for some places to go while I'm in town.,[],NONE
I would like it to be a museum please.,[],NONE
How about in the south?,[],NONE
How much is it to get in that place? And what's their postcode?,[],NONE
No that was all I needed. Thanks so much.,[],NONE
Can you help me find a place to stay that is expensive and includes free parking?,"['hotel-parking', 'hotel-pricerange']",find_hotel
"Area doesn't really matter, but I would like a 3-star place with internet.","['hotel-internet', 'hotel-stars']",find_hotel
"Could you give me the address, please?",[],find_hotel
"Nah, not right now. I do need info on a train though. What's the schedule like on Sunday trains leaving cambridge?",[],NONE
How about a train that will arrive by 12:15 heading to london liverpool street?,[],NONE
"Yes, that sounds perfect. Can you make me a booking for 1 person please?",[],NONE
"Excellent, thank you!",[],NONE
Thank you for your help.,[],NONE
I would like a guesthouse in the moderate price range. Do you think you could find one for me?,"['hotel-pricerange', 'hotel-type']",find_hotel
"I have no preference, but the guesthouse should include free parking.",['hotel-parking'],find_hotel
That's perfect. I would like to book it for 1 person. It needs to be for 4 nights beginning Saturday.,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
"Yes, please try booking for 2 nights.",[],book_hotel
Are there any attractions to see in town? I'm interested in going to a museum if any exist.,[],NONE
"Which is your favorite museum? If you'll get me their postcode, entrance fee, and phone number, I'll give them a call.",[],NONE
"Ok, that sounds great.",[],NONE
"Yes, I'd like to get a taxi from the hotel to the museum please.",[],NONE
I'd like to leave the Acorn by 5:00 if possible.,[],NONE
Okay great! That is all I need. Thank you.,[],NONE
I am looking for a hotel that gives me free parking and free wifi.,"['hotel-internet', 'hotel-parking', 'hotel-type']",find_hotel
"Oh, I would like a guesthouse that is moderately priced please.",['hotel-pricerange'],find_hotel
I don't care about the area. As long as I can have it booked for 3 people starting on Tuesday for 5 nights.,"['hotel-area', 'hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
"Yes, please book Arbury Lodge for me.",['hotel-name'],book_hotel
Thank you! That's all for today. Goodbye!,[],NONE
"Hi, Can you help me find a train from Norwich to Cambridge?",[],NONE
I would like to arrive wednesday at 16:45.,[],find_hotel
"No need to book it today. I would like the price and travel time if you have it there, though.",[],NONE
I also need a hotel with free parking.,['hotel-parking'],find_hotel
"I'd like a guesthouse with a star of 4, please.","['hotel-stars', 'hotel-type']",find_hotel
"Yes please, I need it for 4 people, 3 nights starting on Wednesday.","['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
How about 1 night at the archway house for 4 people. Please book and provide a reference number. Thank you.,[],book_hotel
"That's all I needed today, thank you",[],NONE
I need a cheap place to eat on the south side of town.,[],find_hotel
"Nados serves Portuguese sounds good can I get a address, food type, and phone number?",[],NONE
Excellent. I also need to find a place to stay while in town. Can you help me find a cheap hotel?,"['hotel-pricerange', 'hotel-type']",find_hotel
"Yes, I'll be staying on the South side so a cheap 4 star guesthouse with free wifi will do","['hotel-area', 'hotel-internet', 'hotel-stars']",find_hotel
Can i just get the address please?,[],find_hotel
"No, that's all I need.",[],find_hotel
I am looking for a place to stay. The hotel should include free wifi and should be in the type of hotel,"['hotel-internet', 'hotel-type']",find_hotel
I would like something in the east with 2 stars.,"['hotel-area', 'hotel-stars']",find_hotel
Does it have free parking? Can you provide me with the contact details of this hotel?,[],find_hotel
thanks. What's the address?,[],find_hotel
"That's not necessary, thanks.",[],NONE
That was all. Thank you,[],NONE
Can you find me a 3 star hotel in the centre?,"['hotel-area', 'hotel-stars', 'hotel-type']",find_hotel
Does it have free wifi? I need wifi.,['hotel-internet'],find_hotel
Yes. I want to book it for 1 person. I want to stay for 5 nights starting from Wednesday.,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
Yes please. Another 3-star hotel in the centre with free wifi.,[],book_hotel
Do you have any hotels in the same price range as the Gonville Hotel?,[],book_hotel
Yes please book a room there.,[],book_hotel
Thank you for all of your help.,[],NONE
I would like to book a train.,[],NONE
I am sorry I mean I want a nightclub to go in the wast side of town.,[],NONE
how about one that is in the type of museum.and make Make sure you get address,[],NONE
I also need a moderate priced room.,['hotel-pricerange'],find_hotel
I'd like it to be a guest house in the north.,"['hotel-area', 'hotel-type']",find_hotel
I'm not sure yet. I'm really researching right now. Can you please recommend a guesthouse in the north in the moderate price range?,[],find_hotel
"No but I do need to know if they have internet, free parking, and the address of the guesthouse of your choice, thanks!","['hotel-internet', 'hotel-parking']",find_hotel
"Yes, please tell me your favorite guesthouse in the north and let me know their address and whether they offer free Internet and parking.",[],find_hotel
"Yes, please, I would appreciate that.",['hotel-stars'],find_hotel
I actually don't need a room. I just need the address please.,[],find_hotel
"Thank you, that is everything, sorry for being so annoying in the process.",[],NONE
I need a train on Tuesday that goes to london kings cross.,[],NONE
I want to leave by 19:30.,[],NONE
Well I need it to leave after 19:30 and I would like to make a booking for 5 people on Tuesday and I will need a reference number.,[],NONE
i am also looking for information about the hamilton lodge.,['hotel-name'],find_hotel
Can you tell me if they have free internet?,[],find_hotel
Ok. Thanks. All set.,[],NONE
"No, that would be all for today. Thank you for all your help.",[],NONE
I need a three star hotel with internet. Can you help?,"['hotel-internet', 'hotel-stars', 'hotel-type']",find_hotel
I'm sorry. I meant to ask for information on a restaurant. It's called the Stazione Restaurant and Coffee Bar.,[],NONE
"Yes, sounds wonderful. Can you book a table for 7 at 12:00 on Saturday?",[],NONE
"Great. I also need to find an attraction in the center and would like to know what type, address and entrance fee you find.",[],NONE
"Anything you'd recommend, as long as it's in the centre.",[],NONE
"Sounds good! Could I have the address and entrance fee, please?",[],NONE
Thanks! Do you have a phone number so I can find the entrance fee.,[],NONE
Thank you! And this is a cinema attraction?,[],NONE
I don't need anything else.,[],NONE
I'm looking for a hotel called city centre north b and b,['hotel-name'],find_hotel
Does the hotel have free parking?,[],find_hotel
Hmm. Okay. Could you help me find a train? I need to leave on Sunday.,[],NONE
I want to leave on Sunday and arrive by 14:00.,[],NONE
I am traveling to cambridge from broxbourne.,[],NONE
Can you book it for me and get a reference number ?,[],NONE
